Period,UNI,Status,JobType,Price (tax not included),Pricewithtax,Date,Time,Notes,Employee UNI,Paid/Unpaid,
cw2761,cw2761,Completed,Heavyweight Bond,$24.00 ,26.13,24-Jun,1:10 PM,36x24 (x2),lmw2163,Paid,
,,,,,,25-Jun,,,,,
PJC2161_int_ext_01 (2).pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,26-Jun,12:20 PM,36*24,sl3530,Paid,
2013_Garneau-Chang_Lina Ayala_lpa2107_S2.pdf,lpa2107,Completed,"Satin ""Semi"" Gloss",$18.00 ,19.6,26-Jun,1:00 PM,24x36,lmw2163,Paid,
cw2761-image.pdf,cw2761,Completed,Heavyweight Bond,$18.00 ,19.6,26-Jun,1:23 PM,24x36 rotated incorrectly,lmw2163,Paid,
nv2247.pdf,nv2247,Completed,Lightweight Bond,$8.00 ,8.71,26-Jun,2:08 PM,24X36,sbb2152,Paid,
nvk2103_130507_SpiritualPathway_FINAL.pdf,nvk2103,Completed,Heavyweight Bond,$48.00 ,52.26,26-Jun,7:27 PM,31x31 (x3),lmw2163,Paid,
nvk2103_130507_RUNNINGTRAILS_FINAL.pdf,nvk2103,Completed,Heavyweight Bond,$60.00 ,65.33,26-Jun,7:27 PM,36x40 (x3),lmw2163,Paid,
nvk2103_130507_CeremonialPath_FINAL_035.pdf,nvk2103,Completed,Heavyweight Bond,$42.00 ,45.73,26-Jun,7:27 PM,36x26 (x3),lmw2163,Paid,
,,,,,,27-Jun,,,,,
dp2679_board2.pdf,dp2679,Completed,Heavyweight Bond,$24.00 ,26.13,28-Jun,,,,Paid,
st2850_33x17.pdf,st2850,Completed,Heavyweight Bond,$12.00 ,13.07,28-Jun,,,,Paid,
st2850_print_TEST2.pdf,st2850,Completed,Heavyweight Bond,$24.00 ,26.13,28-Jun,,,,Paid,
dp2679_board1.pdf,dp2679,Completed,Heavyweight Bond,$24.00 ,26.13,28-Jun,,,,Paid,
st2850_print_TEST1.pdf,st2850,Completed,Heavyweight Bond,$24.00 ,26.13,28-Jun,,,,Paid,
gvh2102 - (36x17) - 3 Scenarios.pdf,gvh2102,Completed,Heavyweight Bond,$12.00 ,13.07,28-Jun,,,,Paid,
gvh2102 - (46 x 35) x 2 - Constructing Site.pdf,gvh2102,Completed,Heavyweight Bond,$48.00 ,52.26,28-Jun,,,,Paid,
senarios_xf2130.pdf,xf2130,Completed,Heavyweight Bond,$12.00 ,13.07,28-Jun,,,,Paid,
yn2260_SBronx_Team_CKOZPresentation.pdf,yn2260,Completed,Heavyweight Bond,$48.00 ,52.26,28-Jun,,,,Paid,
Midterm_02_na2540.jpg,na2540,Completed,Heavyweight Bond,$24.00 ,26.13,28-Jun,,,,Paid,
Midterm_01_na2540.jpg,na2540,Completed,Heavyweight Bond,$24.00 ,26.13,28-Jun,,,,Paid,
ae2452_LM_A0_36X48.pdf        ,ae2452,Completed,Heavyweight Bond,,26.13,28-Jun,,,,,
jmr2249_Constructing Site_Boards.pdf,jmr2249,Completed,Heavyweight Bond,,26.13,28-Jun,,,,,
ap3103_Board 2.pdf        ,ap3103,Completed,Heavyweight Bond,,48,28-Jun,,,,,
yz2595_Final Layout_opt.pdf,yz2595,Completed,Heavyweight Bond,,24,28-Jun,,,,,
Daj2123-TransientFinal.pdf,daj2123,Completed,Lightweight Bond,,13.07,28-Jun,,,,Paid,
FAA2140_SCENARIO.pdf,FAA2140,Completed,Lightweight Bond,,13.07,28-Jun,,,,,
faa2140_FaisalAlmogren.pdf,FAA2140,Completed,Lightweight Bond,,13.07,28-Jun,,,,,
yl3036 DIAGRAM PROCESS 2 PRINT ARCH D 100dpi.pdf,yl3036,Completed,Lightweight Bond,,13.07,28-Jun,,,,Paid,
yl3036 DIAGRAM PROCESS 100DPI.pdf,yl3036,Completed,Lightweight Bond,,13.07,28-Jun,,,,Paid,
hd2303_11x17 (2).pdf        ,hd2303,Completed,Lightweight Bond,,8.71,28-Jun,,,,,
hd2303_11x17.pdf,hd2303,Completed,Lightweight Bond,,8.71,28-Jun,,,,,
HD2301_17X11.pdf,hd2301,Completed,Lightweight Bond,,8.71,28-Jun,,,,,
hd2301_board.pdf        ,hd2301,Completed,Lightweight Bond,,13.07,28-Jun,,,,,
MP3250.pdf,mp3250,Completed,Heavyweight Bond,,24,28-Jun,,,,,
ja2904-board.pdf,ja2904,Completed,Lightweight Bond,$27.00 ,29.4,28-Jun,,,,,
ja2904-02.pdf,ja2904,Completed,Lightweight Bond,,8.71,28-Jun,,,,,
ja2904-03.pdf,ja2904,Completed,Lightweight Bond,,13.07,28-Jun,,,,,
ja2904-extra.pdf,ja2904,Completed,Lightweight Bond,,13.07,28-Jun,,,,,
yz2594_final board1.pdf,yz2594,Completed,"Satin ""Semi"" Gloss",,48.99,28-Jun,,,,,
yz2594_final board2.pdf        ,yz2594,Completed,"Satin ""Semi"" Gloss",,19.6,28-Jun,,,,,
FINAL BOARD_XF2130.pdf,xf2130,Completed,Heavyweight Bond,,24,28-Jun,,,,,
yz2595_Senarios.pdf        ,yz2595,Completed,Heavyweight Bond,,24,28-Jun,,,,,
yz2595_FinalLayout,yz2595,Completed,Heavyweight Bond,,48,28-Jun,,,,,
ap3103_senario_34x18.pdf,ap3103,Completed,Heavyweight Bond,,48,28-Jun,,,,,
,,,,,,29-Jun,,,,,
,,,,,,30-Jun,,,,,
        asg2205_pinupboards.pdf,asg2205,Completed,Heavyweight Bond,$24.00 ,26.13,1-Jul,12:25 PM,24x36,sbb2152,Paid,
PJC2161_detail_board,pjc2161,Completed,Lightweight Bond,$8.00 ,8.71,1-Jul,1:39 PM,24x36,lmw2163,Paid,
cy2348.pdf,cy2348,Completed,Lightweight Bond,$8.00 ,8.71,1-Jul,1:40 PM,24x36,lmw2163,Paid,
PJC2161_geneology_ pedalogical.pdf,pjc2161,Completed,Lightweight Bond,$8.00 ,8.71,1-Jul,1:46 PM,24x36,lmw2163,Paid,
PJC2161_people_02.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,1-Jul,2:02 PM,24x36,lmw2163,Paid,
PJC2161_Plan_02_board.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,1-Jul,2:02 PM,24x36,lmw2163,Paid,
PJC2161_plan_02_pink.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,1-Jul,2:02 PM,24x36,lmw2163,Paid,
cw2761-070213.pdf,cw2761,Completed,Lightweight Bond,$8.00 ,8.71,1-Jul,2:10 PM,24*36,sl3530,Paid,
,,,,,,2-Jul,,,,,
nh2440 - 01/02.pdf,nh2440,Completed,Heavyweight Bond,$18.00 ,19.6,3-Jul,11:07 AM,11*19 (2),sl3530,Paid,
cjb2199BuildingPlan22.pdf,cjb2199,Completed,Heavyweight Bond,$6.00 ,6.53,3-Jul,11:07 AM,11*17,sl3530,Paid,
ny2227.pdf,ny2227,Completed,Heavyweight Bond,$6.00 ,6.53,3-Jul,11:16 AM,11*17,sl3530,Paid,
tg2477.pdf,tg2477,Completed,Heavyweight Bond,$12.00 ,13.07,3-Jul,12:26 PM,11x17 rotated incorrectly,lmw2163,Paid,
nt2379.pdf,nt2379,Completed,Heavyweight Bond,$12.00 ,13.07,3-Jul,12:26 PM,11x17 rotated incorrectly,lmw2163,Paid,
nl2461-01.pdf; nl2461-02.pdf; nl2461-03.pdf,nl2461,Completed,Lightweight Bond,$12.00 ,13.07,3-Jul,12:47 PM,11x17 (x3),lmw2163,Paid,
ksl2310 s.pdf,ks2310,Completed,Lightweight Bond,$12.00 ,13.07,3-Jul,1:54 PM,11x17 (x3),lmw2163,Unpaid,
,,,,,,4-Jul,,,,,
,,,,,,5-Jul,,,,,
Board 5_rmm2219.indd/ Board2,rmm2219,Completed,Heavyweight Bond,$24.00 ,26.13,6-Jul,7:20 PM,18*24 (2),sl3530,Paid,
pjc2161_midterm_im_01.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,7-Jul,,36x24,,Paid,
pjc2161_midterm_ps_05.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,7-Jul,,36x24,,Paid,
pjc2161_midterm_ps_04.pdf        ,pjc2161,Completed,Mylar,$18.00 ,19.6,7-Jul,,36x24,,Paid,
pjc2161_midterm_ps_03.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,7-Jul,,36x24,,Paid,
pjc2161_midterm_ps_01.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,7-Jul,,36x24,,Paid,
pjc2161_midterm_gp_01.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,7-Jul,,36x24,,Paid,
pjc2161_midterm_dt_01.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,7-Jul,,36x24,,Paid,
pjc2161_midterm_ct_03.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,7-Jul,,36x24,,Paid,
pjc2161_midterm_ct_02.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,7-Jul,,36x24,,Paid,
pjc2161_midterm_ct_01.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,7-Jul,,36x24,,Paid,
jp3368_01.ai,jp3368,Completed,"Satin ""Semi"" Gloss",$18.00 ,19.6,7-Jul,,36x24,,Paid,
jp3368_02.ai,jp3368,Completed,"Satin ""Semi"" Gloss",$18.00 ,19.6,7-Jul,,36x24,,Paid,
jp3368_03.ai,jp3368,Completed,"Satin ""Semi"" Gloss",$18.00 ,19.6,7-Jul,,36x24,,Paid,
jp3368_04.ai,jp3368,Completed,"Satin ""Semi"" Gloss",$18.00 ,19.6,7-Jul,,36x24,,Paid,
jp3368_05.ai,jp3368,Completed,"Satin ""Semi"" Gloss",$18.00 ,19.6,7-Jul,,36x24,,Paid,
ksl2310 photos.pdf,ksl2310,Completed,Lightweight Bond,$4.00 ,4.36,7-Jul,,11x34,,Paid,
Board 6_rmm2219.ai,rmm2219,Completed,Heavyweight Bond,$12.00 ,13.07,7-Jul,8:40 PM,18x24,lmw2163,Paid,
cy2348.pdf,cy2348,Completed,Heavyweight Bond,$60.00 ,65.33,7-Jul,8:41 PM,24x36 (x5),lmw2163,Paid,
mhs2185_A1.pdf; mhs2185_A1.pdf,mhs2185,Completed,Heavyweight Bond,$48.00 ,52.26,7-Jul,8:42 PM,33.11x24 (x4),lmw2163,Paid,
ck2651_mid_term.ai,ck2651,Completed,Heavyweight Bond,$24.00 ,26.13,7-Jul,9:19 PM,36*48,sl3530,Paid,
rjs2202_Board 1 & 6.jpg,rjs2202,Completed,Heavyweight Bond,$12.00 ,13.07,7-Jul,9:30 PM,24x36,lmw2163,Paid,
Board 2_rmm2219.indd,rmm2219,Completed,Heavyweight Bond,$12.00 ,13.07,7-Jul,9:46 PM,24*18,sl3530,Paid,
wz2265-citysample,wz2265,Completed,Heavyweight Bond,$18.00 ,19.6,7-Jul,9:54 PM,24*36 wrong rotation,sl3530,Paid,
"mhs2185_A1 3 boards color.pdf
",mhs2185,Completed,Heavyweight Bond,$36.00 ,39.2,7-Jul,9:59 PM,24*36,sl3530,Paid,
tf2333_all4.jpg,tf2333,Completed,Heavyweight Bond,$24.00 ,26.13,7-Jul,10:00 PM,36*48,sl3530,Paid,
lll2148.pdf,lll2148,Completed,Heavyweight Bond,$36.00 ,39.2,8-Jul,10:00 AM,36x24 (x5),lmw2163,Paid,
sl3615 SeoHyunLee _midterm PANEL1.jpg,sl3615,Completed,Heavyweight Bond,$42.00 ,45.73,8-Jul,10:00 AM,36x80,lmw2163,Paid,
