Period,UNI,Status,JobType,Price (tax not included),Pricewithtax,Date,Time,Notes,Employee UNI,Paid/Unpaid,
ny2227 pin up.pdf; ny2227 pin up2.pdf,ny2227,Completed,Heavyweight Bond,$12.00 ,13.07,11-Jul,,19x13 (x2),lmw2163,Unpaid,
xd2151_XINRAN_DING.pdf,intro,Completed,Heavyweight Bond,$18.00 ,19.6,11-Jul,2:40 AM,19x13 (x3),lmw2163,,
xq2136_f.pdf,intro,Completed,Heavyweight Bond,$12.00 ,13.07,11-Jul,,16.54 x 11.7 in. (x2),,Paid,
JK3642_heavyweightBond-1.pdf,JK3642,Completed,Heavyweight Bond,$36.00 ,39.2,11-Jul,6:37 PM,36x72 ,diana,Paid,
tgh2106_midterm print.pdf,tgh2106,Completed,Heavyweight Bond,$36.00 ,39.2,11-Jul,7:26 PM,36x72,diana,Paid,
mk3577.pdf,mk3577,Completed,Heavyweight Bond,$36.00 ,39.2,11-Jul,8:00 PM,36x72,diana,Paid,
ld2581_venturi.pdf.pdf,ld2581,Completed,Heavyweight Bond,$36.00 ,39.2,11-Jul,8:33 PM,36x72,lmw2163,Paid,
fc2409_fire station_venturi.pdf,fc2409,Completed,Heavyweight Bond,$36.00 ,39.2,11-Jul,9:25 AM,36x72,lmw2163,Paid,
pcf2110_nursery.pdf,pcf2110,Completed,Heavyweight Bond,$36.00 ,39.2,11-Jul,9:50 AM,36x72,lmw2163,Paid,
rv2321_version6.pdf,rv2321,Completed,Heavyweight Bond,$36.00 ,39.2,11-Jul,9:52 AM,36x72,lmw2163,Paid,DIFFERENT FILES SHOULD NOT HAVE THE SAME NAME! 
pav2117.pdf,pav2117,Completed,Heavyweight Bond,$36.00 ,39.2,11-Jul,,,scc2159,Unpaid,
"tgh2106_artifact.pdf,tgh2106_proposal.pdf",tgh2106,Completed,Heavyweight Bond,$72.00 ,78.39,11-Jul,,"(2) 36""x72""",scc2159,,
mk3577_MIDTERM PLT.pdf,mk3577,Completed,Heavyweight Bond,$36.00 ,39.2,11-Jul,,"36""x72""",scc2159,Paid,
ed2599_venturi adapted.pdf,ed2599,Completed,Heavyweight Bond,$36.00 ,39.2,11-Jul,,"36""x72""",scc2159,Paid,
fc2409_venturi adaptated.pdf,fc2409,Completed,Heavyweight Bond,$36.00 ,39.2,12-Jul,,"36""x72""",scc2159,Unpaid,
"PAV2117_PLANS.pdf,PAV2117_IMAGE 2.pdf,PAV2117_IMAGEN 1.pdf",pav2117,Completed,Heavyweight Bond,$108.00 ,117.59,12-Jul,,"(3) 36""x72""",scc2159,Paid,wz2265-ps&reference.jpg
nm2691_martynov.pdf,nm2691,Completed,Heavyweight Bond,$36.00 ,39.2,12-Jul,,"36""x72""",scc2159,Paid,
pcf2110_datacenter.pdf,pcf2110,Completed,Heavyweight Bond,$36.00 ,39.2,12-Jul,,"36""x72""",scc2159,Paid,File exceeds 100MB limit. would not print.
ld2581_venturi adapted.pdf,ld2581,Completed,Heavyweight Bond,$36.00 ,39.2,12-Jul,,"36""x72""",scc2159,Paid,
qs2140_venturi.pdf,gs2140,Completed,Heavyweight Bond,$36.00 ,39.2,12-Jul,,"36""x72""",scc2159,Paid,
mad2236.pdf,mad2236,Completed,Heavyweight Bond,$18.00 ,19.6,12-Jul,,"36""x30""",sc2159,Paid,
JK3642_130712_heavyweightBond-1.pdf,jk3642,Completed,Heavyweight Bond,$36.00 ,39.2,12-Jul,,,scc2159,Paid,
tgh2106_proposal2.pdf,tgh2108,Completed,Heavyweight Bond,$36.00 ,39.2,12-Jul,,36*72,sl3530,,
sb3525_presentation.ai,sb3525,Completed,Lightweight Bond,$12.00 ,13.07,12-Jul,,22*34,sl3530,,
jl4132_ventury JungHwa.pdf,jl4132,Completed,Heavyweight Bond,$36.00 ,39.2,12-Jul,,36*72,sl3530,Paid,
jl4132.pdf,jl4132,Completed,Heavyweight Bond,$18.00 ,19.6,12-Jul,,24*36,sl3530,Paid,
,,,,,,13-Jul,,,,,
aap2177-rubegoldberg1.jpg.jpg; aap2177-rubegoldberg2.jpg.jpg,aap2177,Completed,Heavyweight Bond,$36.00 ,39.2,14-Jul,,26x38 (x2),lmw2163,,
rm3181_Top1.jpg; rm3181_Front1.jpg; rm3181_Back1.jpg,rm3181,Completed,Heavyweight Bond,$54.00 ,58.79,14-Jul,,26x38 (x3),lmw2163,Paid,
mm4382_0715_test plot.pdf; mm4382_0715_test plot copy2.pdf; ,mm4382,Completed,Lightweight Bond,$8.00 ,8.71,14-Jul,,12x36 (x3),lmw2163,Unpaid,
xq2136-expo.pdf,xq2136,Completed,Lightweight Bond,$4.00 ,4.36,14-Jul,,36x11,lmw2163,Unpaid,
rm3181_Top1.jpg; rm3181_Front1.jpg; rm3181_Back1.jpg,rm3181,Completed,Lightweight Bond,$24.00 ,26.13,14-Jul,,27x36 (x3),lmw2163,Paid,
xd2151_MVRDV analysis.pdf,xd2151,Completed,Lightweight Bond,$4.00 ,4.36,14-Jul,,36x11,lmw2163,Shop Error,
RC2866_07152013PINUP.pdf,rc2866,Completed,Heavyweight Bond,$48.00 ,52.26,15-Jul,,30x40 (x2),lmw2163,Paid,
kem2197 pictures.pdf; kem2197 drawings.pdf; kem2197 pics2.pdf,kem2197,Completed,Lightweight Bond,$24.00 ,26.13,15-Jul,,24x24 (x3),lmw2163,Paid,
nph2112_ContainerDrawings_24x36.pdf; nph2112_ContainerPhotographs_24x24.pd; nph2112_UnselectedContainers_24x24.pdf,nph2112,Completed,Lightweight Bond,$24.00 ,26.13,15-Jul,,"24x24 (x2), 24x36",lmw2163,Paid,
mwg2119 2013_CooperKirchman_MGraham_S5 (1).pdf,mwg2119,Completed,Lightweight Bond,$28.00 ,30.49,15-Jul,,30x40 (x2),lmw2163,Paid,
cy2348 (2).pdf,cy2348,Completed,Heavyweight Bond,$24.00 ,26.13,15-Jul,,24x36 (x2),lmw2163,Paid,
pjc2161_vector axo_01 [Converted].pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,15-Jul,,24x36,lmw2163,Paid,
blr2142 Brad Roemer.pdf,blr2142,Completed,Lightweight Bond,$12.00 ,13.07,15-Jul,,30x40 (x2),lmw2163,Paid,
dab2200_24x24_FennelContainerPhotos.pdf; dab2200_24x24_IntialContainerConcepts.pdf; dab2200_24x24_FennelContainerPhotos.pdf,dab2200,Completed,Heavyweight Bond,$36.00 ,39.2,15-Jul,,24x24 (x3),lmw2163,Paid,
ksw2129_24x24.pdf,ksw2129,Completed,Heavyweight Bond,$36.00 ,39.2,15-Jul,,24x24 (x3),lmw2163,Paid,
ak2690 Cucumber Container v2.tif,ak2690,Completed,Lightweight Bond,$8.00 ,8.71,15-Jul,,24x36,lmw2163,Unpaid,
jj2697_tomato 1.pdf; jj2697_tomato 2.pdf,jj2697,Completed,Lightweight Bond,$16.00 ,17.42,15-Jul,,24x24,lmw2163,Unpaid,
xq2136_sports.pdf,xp2136,Completed,Lightweight Bond,$8.00 ,8.71,15-Jul,,36x22,lmw2163,,
jfc2152 c1.pdf; jfc2152 c2.pdf,jfc2152,Completed,Lightweight Bond,$16.00 ,17.42,15-Jul,,24x24 (x2),lmw2163,Paid,
xd2151_table tennis_PLUG IN UNITS.pdf,xd2151,Completed,Lightweight Bond,$8.00 ,8.71,15-Jul,,36x11 (x2),lmw2163,Paid,
lll2148 (1).pdf,lll2148,Completed,Heavyweight Bond,$12.00 ,13.07,15-Jul,,24x36,lmw2163,,
jh3446FAILEDSCHEMES.pdf; jh3446FinalScheme.pdf,jh3446,Completed,Lightweight Bond,$16.00 ,17.42,15-Jul,,24x24 (x2),lmw2163,Paid,
ak2690 Cucumber Container Collage v1.tif,ak2690,Completed,Lightweight Bond,$8.00 ,8.71,15-Jul,,24x24,lmw2163,Paid,
yj2315_garlic.pdf,yj2316,Completed,Lightweight Bond,$24.00 ,26.13,15-Jul,,,sl3530,Paid,
        ase2122-sports.pdf,ase2122,Completed,Lightweight Bond,$8.00 ,8.71,15-Jul,,,sl3530,Paid,
hx3155 hand board,hx3155,Completed,Lightweight Bond,$16.00 ,17.42,15-Jul,,,,Paid,
"en2322_1.pdf,en2322_2.pdf",en2322,Completed,Heavyweight Bond,$42.00 ,45.73,16-Jul,,"30""x40"" (2)",scc2159,Unpaid,
maa2244 - S3 Boards v1.2.pdf,maa2244,Completed,Heavyweight Bond,$42.00 ,45.73,16-Jul,,"30""x40"" (2)",lmw2163,Paid,
BradRoemer_Blr2142_StudioMidterm.pdf,blr2142,Completed,Heavyweight Bond,$42.00 ,45.73,17-Jul,,2 pages,sl3530,Paid,
mwg2119_2013_CooperKirchman_MGraham_S5 (2).pdf,mwg2119,Completed,Heavyweight Bond,$42.00 ,45.73,17-Jul,,2pages,sl3530,Paid,
DD2702.pdf,dd2702,Completed,Heavyweight Bond,$42.00 ,45.73,17-Jul,,2 pages,sl3530,Paid,
BAM_midterm_mal2267-1.pdf/-2,mal2267,Completed,Heavyweight Bond,$42.00 ,45.73,17-Jul,,2 pages,sl3530,Paid,
Midterm Boards FINAL ss3057.pdf,ss3057,Completed,Heavyweight Bond,$48.00 ,52.26,17-Jul,,2 pages,sl3530,Paid,
        2013_CooperKirchmann_EmilyLaetz_ejl2160_S5.pdf,ejl2160,Completed,Heavyweight Bond,$48.00 ,52.26,17-Jul,,2 pages,sl3530,Paid,
cmj2160_BAM_Boards_Midterm.pdf,cmj2160,Completed,Heavyweight Bond,$42.00 ,45.73,17-Jul,,2 pages,sl3530,Paid,
rc2866_2013717_MidTerm2.pdf,rc2866,Completed,Heavyweight Bond,$42.00 ,45.73,17-Jul,,2 pages,sl3530,Paid,
rc2866_2013717_MidTerm.pdf,rc2866,Completed,Heavyweight Bond,$42.00 ,45.73,17-Jul,,2 pages,sl3530,Paid,
HX2155-han-boards-midtern.pdf,hx2155,Completed,Heavyweight Bond,$42.00 ,45.73,17-Jul,,2 pages,sl3530,Paid,
hw2445_01.pdf;_02,hw2445,Completed,Heavyweight Bond,$42.00 ,45.73,17-Jul,,2 pages,sl3530,,
mm4382_section.pdf projection,mm4382,Completed,Heavyweight Bond,$24.00 ,26.13,17-Jul,,2 pages,sl3530,Paid,
cw2761.pdf,cw2761,Completed,Heavyweight Bond,$12.00 ,13.07,17-Jul,,"36""x24""",scc2159,Paid,
tg2477_34x12-P4.pdf; tg2477_34x22-P1.pdf,tg2477,Completed,Heavyweight Bond,$18.00 ,19.6,17-Jul,,34x12,diana,Paid,
ny2227 collage midterm.pdf,ny2227,Completed,Heavyweight Bond,$6.00 ,6.53,17-Jul,,34x11,diana,Paid,
yw2565_drawing.pdf,yw2565,Completed,Heavyweight Bond,$24.00 ,26.13,17-Jul,,36x48,diana,Paid,
SDA2123_PitchBlack.pdf,sda2123,Completed,Heavyweight Bond,$12.00 ,13.07,18-Jul,,,,Paid,
"aap2177-dsa_10.pdf , aap2177-dsa_100.pdf",aap2177,Completed,Heavyweight Bond,$24.00 ,26.13,18-Jul,,36x24 (2),,Paid,
"jcp2186 100 People Compressed.pdf, jcp2186 100 People Compressed Version 2.pdf",jcp2186,Completed,Heavyweight Bond,$48.00 ,52.26,18-Jul,,36x48 (2),,Paid,
"rm3181_10PeopleSM.pdf, rm3181_100PeopleSM.pdf",rm3181,Completed,Heavyweight Bond,$30.00 ,32.66,18-Jul,,24x36 36x24,,Paid,
xq2136-mid1.pdf,xq2136,Completed,Heavyweight Bond,$6.00 ,6.53,18-Jul,,36x12,,Unpaid,
jcp2186 10 People Final Compressed.pdf,jcp2186,Completed,Heavyweight Bond,$24.00 ,26.13,18-Jul,,36x48,,Unpaid,
"emw2171 collage 1.psd, emw2171 collage 3.psd, emw2171 collage 2.psd",emw2171,Completed,Heavyweight Bond,$60.00 ,65.33,18-Jul,,26x38 (3),,Paid,
xq2136-mid2.pdf,xq2136,Completed,Heavyweight Bond,$6.00 ,6.53,18-Jul,,12x36,,Paid,
xd2151_collage'''.pdf,xd2151,Completed,Heavyweight Bond,$12.00 ,13.07,18-Jul,,13x19,,,
nt2379 midterm.pdf,nt2379,Completed,Heavyweight Bond,$12.00 ,13.07,18-Jul,,34x22,,Paid,
"ny2227 midterm 1.pdf, ny2227 midterm 2.pdf",ny2227,Completed,Heavyweight Bond,$12.00 ,13.07,18-Jul,,34x11 (2),,Paid,
"nph2112_GarlicMaps_24x24.pdf, nph2112_ContainerStudy_Version2_24x24.pdf, nph2112_ConceptPhotos_24x24.pdf",nph2112,Completed,Heavyweight Bond,$36.00 ,39.2,18-Jul,,24x24 (3),,Paid,
dk2769aaaaaas.pdf,dk2769,Completed,Heavyweight Bond,$24.00 ,26.13,18-Jul,,34 x 44,,Paid,
tg2477_34x24-S0.pdf,tg2477,Completed,Heavyweight Bond,$12.00 ,13.07,18-Jul,,34x24,,Paid,
ksw2129_Container.pdf,ksw129,Completed,Heavyweight Bond,$36.00 ,39.2,18-Jul,,24x24,,Paid,
srs2210_OneManPrint.pdf,srs2210,Completed,Heavyweight Bond,$12.00 ,13.07,18-Jul,,24x36,,Paid,
111.psd,,Completed,Heavyweight Bond,$42.00 ,45.73,18-Jul,,36x77,,,
ww2349-mid.pdf,ww2349,Completed,Heavyweight Bond,$24.00 ,26.13,18-Jul,,"36""x48""",,Paid,
"DAB2200_24x24_FinalContainerSequenceb.pdf, DAB2200_24x24_FennelSectionCuts.pdf, DAB2200_24x24_InitialContainerSequence.pdf",DAB2200,Completed,Heavyweight Bond,$36.00 ,39.2,18-Jul,,3 (24x24),,Paid,
Kem2194 Artichoke Mapping.indd,kem2194,Completed,Mylar,$27.00 ,29.4,18-Jul,,"22""x34""",,,
"jh3446Panel1.pdf, jh3446Panel2.pdf , jh3446Panel3.pdf       ",jh3446,Completed,Heavyweight Bond,$36.00 ,39.2,18-Jul,,"(3) 24""x24""",,Paid,
srs2210_100people copy.pdf,srs2210,Completed,Heavyweight Bond,$12.00 ,13.07,18-Jul,,24x36,,Paid,
tf2333_dwd.jpg,tf2333,Completed,Heavyweight Bond,$24.00 ,26.13,18-Jul,,36x48,,Paid,
xd2151_collage'''.pdf,xd2151,Completed,Heavyweight Bond,$6.00 ,6.53,18-Jul,,,,Paid,
"iu2145_lamina_01.pdf,iu2145_lamina_02.pdf",iu2145,Completed,Mylar,$36.00 ,39.2,18-Jul,,,,Paid,
"jj2697_tomato section.pdf, jj2697_tomato container.pdf, jj2697_tomato system.pdf        ",jj2697,Completed,Heavyweight Bond,$36.00 ,39.2,18-Jul,,,,,
srs2210_ten peopleprint.pdf,srs2210,Completed,Heavyweight Bond,$12.00 ,13.07,18-Jul,,,,Paid,you sent two similar files. let us know if you want both of them to be printed
sda2123_PitchBlack02.pdf,sda2123,Completed,Heavyweight Bond,$12.00 ,13.07,18-Jul,,"24""x24""",,,
mhs2185_36x48 color.pdf,mhs2185,Completed,Heavyweight Bond,,26.13,18-Jul,,,,Paid,
ak2690 Cucumber Container Outtakes Collage v2.tif,AK2690,Completed,Heavyweight Bond,$36.00 ,39.2,18-Jul,,,,,
HL2809_SECTIONS.pdf,hl2809,Completed,Heavyweight Bond,$48.00 ,52.26,18-Jul,,4 pages,,Paid,
midterm boards_dm2995.pdf,dm2995,Completed,Heavyweight Bond,$36.00 ,39.2,18-Jul,,,,Paid,"File was toooo large, please resubmit smaller file size."
alh2185_ViaVerdeDWD2.pdf,alh2185,Completed,Lightweight Bond,$16.00 ,17.42,18-Jul,,2 pages,,Paid,
yj2315_Garlic system.pdf,yj2315,Completed,Heavyweight Bond,$12.00 ,13.07,18-Jul,,,,Paid,
yj2315_Garlic models.pdf/ container,yj2315,Completed,Heavyweight Bond,$24.00 ,26.13,18-Jul,,2 pagea,sl3530,Paid,"Rotated incorrectly, extra $$$"
"        yg2341.pdf, yg2341_2.pdf",yg2341,Completed,Heavyweight Bond,$66.00 ,71.86,18-Jul,,2pages,sl3530,Paid,"Rotated incorrectly, extra $$$"
DWD_ns2950.tif,ns2950,Completed,Heavyweight Bond,$12.00 ,13.07,18-Jul,,24x24,diana,,"Rotated incorrectly, extra $$$"
DWD_NS2950.ai,ns2950,Completed,Heavyweight Bond,$12.00 ,13.07,18-Jul,,24x24,diana,Paid,"Rotated incorrectly, extra $$$"
sv2416_BOARD FINAL.pdf,sv2416,Completed,Heavyweight Bond,$24.00 ,26.13,18-Jul,,24x48,,Paid,"Rotated incorrectly, extra $$$"
pjc2161_moving_02 [Convertedf.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,19-Jul,,36x24,scc2159,Paid,
yg2341_Blur.pdf,yg2341,Completed,Mylar,$18.00 ,19.6,19-Jul,,36x24,scc2159,Paid,
,,,,,,20-Jul,,,,,
ai2302_floor_space2.pdf,ai2302,Completed,Mylar,$27.00 ,29.4,21-Jul,,24x36,scc2159,Paid,
sda2123_sectiondetail_01.pdf/ 02.pdf,sda2123,Completed,Mylar,$36.00 ,39.2,21-Jul,8:00 PM,32*24 (2),sl3530,Paid,
cw2761-detail01.pdf,cw2761,Completed,Heavyweight Bond,$12.00 ,13.07,22-Jul,1:16 PM,36x24,kir2108,Paid,
pjc2161_sound.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,22-Jul,1:18 PM,36x24,kir2108,Unpaid,
pjc2161_blur_01 [Converted].pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,22-Jul,1:22 PM,36x24,kir2108,Unpaid,
cy2348.pdf,cy2348,Completed,Mylar,$18.00 ,19.6,22-Jul,1:38 PM,36x24,kir2108,Unpaid,
"pjc2161_social (1).pdf, pjc2161_blur.pdf, pjc2161_sound.pdf",pjc2161,Completed,Mylar,$54.00 ,58.79,23-Jul,,3 (36x24),scc2159,Unpaid,
Pantirer_Midterm_mp3253.pdf,mp3253,Completed,Heavyweight Bond,$24.00 ,26.13,23-Jul,,30x40,mih2113,Paid,
McCarthy_Andrew_Midterm_S6_agm2158.pdf,agm2158,Completed,Heavyweight Bond,$24.00 ,26.13,23-Jul,,30x40,mih2113,Paid,
ohg2102_hunts_point.pdf,ohg2102,Completed,Heavyweight Bond,$24.00 ,26.13,23-Jul,,33x47,mih2113,Paid,
jah2246_JennyHahnMidtermFinal.pdf,jah2246,Completed,Lightweight Bond,$16.00 ,17.42,23-Jul,,30x40,mih2113,Paid,
ohg2102_HP_contours.pdf,ohg2102,Completed,Heavyweight Bond,$24.00 ,26.13,23-Jul,,33x46,scc2159,,
tkc2114_site model base-36x48 site model.pdf,tkc2114,Completed,Lightweight Bond,$16.00 ,17.42,23-Jul,,36x48,scc2159,Unpaid,
ASB2236.pdf,asb2236,Completed,Heavyweight Bond,$24.00 ,26.13,23-Jul,,30x40,diana,Paid,
ww2344.pdf,ww2344,Completed,Heavyweight Bond,$24.00 ,26.13,23-Jul,,30x40,diana,,
xq2127_midterm_board.pdf,xq2127,Completed,Heavyweight Bond,$24.00 ,26.13,23-Jul,,30x40,diana,Paid,
CKN 2110.pdf,ckn2110,Completed,Heavyweight Bond,$24.00 ,26.13,23-Jul,,30x40,diana,Paid,
cz2317.pdf,cz2317,Completed,Heavyweight Bond,$24.00 ,26.13,23-Jul,,30x40,diana,Paid,
cel2155_Mid-Term-7.25.13.pdf,cel2155,Completed,Heavyweight Bond,$24.00 ,26.13,24-Jul,,,drp2122,Unpaid,
UNIasb2236.pdf,asb2236,Completed,Heavyweight Bond,$24.00 ,26.13,24-Jul,,,drp2122,Unpaid,
Mid Term Noam - ngf2107.pdf ,ngf2107,Completed,Heavyweight Bond,$24.00 ,26.13,24-Jul,,,drp2122,Unpaid,
djs2219_Midterm Pinup.pdf,djs2219,Completed,Heavyweight Bond,$24.00 ,26.13,24-Jul,,,drp2122,Paid,
pk2246.pdf,pk2246,Completed,Heavyweight Bond,$24.00 ,26.13,24-Jul,,,drp2122,Paid,
wgt2104.pdf,wgt2104,Completed,Heavyweight Bond,$24.00 ,26.13,24-Jul,,,drp2122,Paid,
dn2345.psd,dn2345,Completed,Heavyweight Bond,$12.00 ,13.07,25-Jul,,22x34,scc2159,Unpaid,
ase2122 color 36 by 50.pdf,ase2122,Completed,Heavyweight Bond,$30.00 ,32.66,25-Jul,,36 x 50 ,hrm2117,Paid,
xd2151_HYBRID_PLANS AND SECTIONS (1).pdf,xd2151,Completed,Lightweight Bond,$8.00 ,8.71,25-Jul,,36x22,hrm2117,Paid,
nm2761.psd,nm2761,Completed,Lightweight Bond,,26.13,25-Jul,5:43 PM,24x36,diana,Paid,
,,,,,,26-Jul,,,,,
,,,,,,27-Jul,,,,,
dbs2166_heavyweight_color_print.pdf,dbs2166,Completed,Heavyweight Bond,$24.00 ,26.13,28-Jul,,33x46,scc2159,Unpaid,
yz2595_RedHook_NoliMap.pdf,yz2595,Completed,Lightweight Bond,$12.00 ,13.07,29-Jul,12:23 AM,22x34 rotated incorrectly,lmw2163,Paid,
cy2348.pdf,cy2348,Completed,Mylar,$108.00 ,117.59,29-Jul,12:23 AM,36x72 (x2),lmw2163,Paid,
pjc2161_first_final_01.pdf,pjc2161,Completed,Mylar,$54.00 ,58.79,29-Jul,12:23 AM,36x72,lmw2163,Unpaid,
cw2761-2.pdf + 3 + 4,cw2761,Completed,Heavyweight Bond,$36.00 ,39.2,29-Jul,12:00 PM,3 @24x36,lmw2163,Paid,
pjc2161_social.pdf,pjc2161,Completed,Mylar,$18.00 ,19.6,29-Jul,12:04 PM,24x36,sbb2152,Paid,
cw2761-0.pdf + 50,cw2761,Completed,Heavyweight Bond,$24.00 ,26.13,29-Jul,12:23 PM,2@ 24x36,sbb2152,Unpaid,(wrong rotation)
pjc2161_vector axo_01_final.pdf,pjc2161,Completed,Mylar,,19.6,29-Jul,1:30 PM,24x36,,Paid,
"cw2761 FINAL 2SIDE-1.pdf, cw2761 FINAL 2SIDE-2.pdf",cw2761,Completed,Heavyweight Bond,$72.00 ,78.39,29-Jul,12:23 AM,2@ 36x72,scc2159,Paid,
lb2894 BRAND Development Boards.pdf,lb2894,Completed,Lightweight Bond,$32.00 ,34.84,30-Jul,12:23 AM,30x40 (2),mih2113,Unpaid,
SJG2172_PracticumFinalDRAFT.pdf,sjg2172,Completed,Heavyweight Bond,$48.00 ,52.26,30-Jul,12:23 AM,30x40 (2),mih2113,Paid,
rvs2122 Final indesign Version 1.pdf,rvs2122,Completed,Lightweight Bond,$16.00 ,17.42,30-Jul,12:23 AM,30x40,mih2113,Paid,
rvs2122 Final indesign Version 2.pdf,rvs2122,Completed,Lightweight Bond,$16.00 ,17.42,30-Jul,12:23 AM,30x40,mih2113,Paid,jfc
ak2051_half size template1.pdf,ak2051,Completed,Lightweight Bond,$12.00 ,13.07,30-Jul,12:23 AM,15x20 (x2),lmw2163,Paid,
Half SizeTemplate -- CAC2247.pdf,cac2247,Completed,Lightweight Bond,$8.00 ,8.71,30-Jul,12:23 AM,15x20,lmw2163,Paid,
cw2787_draft1.pdf,cw2787,Completed,Lightweight Bond,$12.00 ,13.07,30-Jul,12:23 AM,30x30,lmw2163,Paid,
cw2787 draft2.pdf,cw2787,Completed,Heavyweight Bond,$18.00 ,19.6,30-Jul,12:23 AM,24x36,xf2130,Paid,
pms2157 - Board Presentation.pdf,pms2157,Completed,Lightweight Bond,$8.00 ,8.71,30-Jul,12:23 AM,20x30,Diana,Paid,
yh2630-BAM.pdf,yh2630,Completed,Lightweight Bond,$28.00 ,30.49,30-Jul,12:23 AM,30x40 (x2),Diana,Paid,
bm2642_HalfSizeBoardsv1.pdf,bm2642,Completed,Heavyweight Bond,$12.00 ,13.07,31-Jul,12:23 AM,20x15,sbb2152,Paid,comp - outputshop error
mih2113_073113_print.pdf,mih2133,Completed,Lightweight Bond,$8.00 ,8.71,31-Jul,12:23 AM,20x15,sbb2152,Unpaid,
jp3368_01-02.indd,jp3368,Completed,Heavyweight Bond,$60.00 ,65.33,31-Jul,12:23 AM,,drp2122,Paid,
yk2602 Final Board.pdf,yk2602,Completed,Heavyweight Bond,$48.00 ,52.26,31-Jul,12:23 AM,2@ 36x48,sbb2152,Unpaid,
rc2866_S7_20130731.pdf,rc2866,Completed,Heavyweight Bond,$24.00 ,26.13,31-Jul,12:23 AM,30x40,sbb2152,Paid,
dd2702.pdf,dd2702,Completed,Lightweight Bond,$8.00 ,8.71,31-Jul,12:23 AM,15x20,drp2122,Paid,
yp2344_s7_20130731.pdf,yp2344,Completed,Lightweight Bond,$32.00 ,34.84,31-Jul,12:23 AM,2@ 30x40,drp2122,Paid,
gb2446_final print everyone.tif,gb2446,Completed,Heavyweight Bond,$36.00 ,39.2,31-Jul,12:23 AM,36x72,drp2122,Unpaid,
DD2702.pdf,dd2702,Completed,Lightweight Bond,$12.00 ,13.07,31-Jul,12:23 AM,2@ 15x20,drp2122,Paid,
mih2113_073113_print.pdf,mih2113,Completed,Lightweight Bond,$16.00 ,17.42,31-Jul,12:23 AM,,drp2122,Unpaid,
Erm2151 Eric Moerdler Boards.pdf,erm2151,Completed,Lightweight Bond,$12.00 ,13.07,31-Jul,12:23 AM,,sbb2152,Paid,
GibsonJames (jmg2280) -S8.pdf,jmg2280,Completed,Lightweight Bond,$16.00 ,17.42,31-Jul,12:23 AM,20x15 (x2),sbb2152,Paid,
        mhs2185_36x116_lighweightbond.pdf,mhs2185,Completed,Lightweight Bond,$40.00 ,43.55,31-Jul,12:23 AM,36X116,sbb2152,Paid,
dn2314-1-5.jpg,dn2314,Completed,Heavyweight Bond,$90.00 ,97.99,31-Jul,12:23 AM,36x36 (x5),sbb2152,Paid,
final draft_dm2995.pdf,dm2995,Completed,Heavyweight Bond,$36.00 ,39.2,31-Jul,12:23 AM,36x72,sbb2152,Paid,
        ag3300_msredstudiotest.pdf,ag330,Completed,Heavyweight Bond,$24.00 ,26.13,31-Jul,12:23 AM,36x41,sbb2152,Unpaid,
see2129.psd,see2129,Completed,Heavyweight Bond,$18.00 ,19.6,31-Jul,12:23 AM,,,Unpaid,
nph2112_ContainerStudy_Final_24x24.pdf+Garlic,nph2112,Completed,Heavyweight Bond,$24.00 ,26.13,31-Jul,12:23 AM,(2x) 24x24,,Paid,
gc2485-130731.psd,gc2485,Completed,Heavyweight Bond,$24.00 ,26.13,31-Jul,12:23 AM,48x36,sbb2152,Paid,
nm2761.psd,nm2761,Completed,Heavyweight Bond,$12.00 ,13.07,31-Jul,12:23 AM,24x36,scc2159,Paid,
nm2761 corrected section.psd,nm2761,Completed,Heavyweight Bond,$6.00 ,6.53,31-Jul,12:23 AM,,sbb2152,Paid,
iu2145_lamina001.pdf,iu2145,Completed,Mylar,$18.00 ,19.6,31-Jul,12:23 AM,36x24,sjh2175,Unpaid,
fs2498_Fengnuan Song_01; 02; 03; 04; 05,fs2498,Completed,Lightweight Bond,$48.00 ,52.26,31-Jul,12:23 AM,36x24 (x6),sjh2175,Paid,
cw2787-collage.pdf; draft1,cw2787,Completed,Heavyweight Bond,$24.00 ,26.13,31-Jul,12:23 AM,20x10; 30x30,sjh2175,Unpaid,
gvh2102_36x48.pdf,gvh2102,Completed,Lightweight Bond,$16.00 ,17.42,31-Jul,12:23 AM,36x48,lmw2163,Paid,
tg2477_36x44_ALL.pdf; tg2477_36x22_ALL2.pdf,tg2477,Completed,Heavyweight Bond,$36.00 ,39.2,31-Jul,12:23 AM,36x44; 36x22,lmw2163,Paid,
dab2200_073113_ContainerSequence_Final_Layout_FinalReview.pdf,dab2200,Completed,Heavyweight Bond,$12.00 ,13.07,1-Aug,12:23 AM,24 x 24 ,hrm2117,Unpaid,
kem2197 Artichoke Mapping Sequence Final.pdf,kem2197,Completed,Mylar,$18.00 ,19.6,1-Aug,12:23 AM,24 x 24 in,hrm2117,Paid,
jh3446ProcessWORK.pdf,jh3446,Completed,Heavyweight Bond,$12.00 ,13.07,1-Aug,12:23 AM,24x24,hrm2117,Unpaid,
